# Name          L       B
_NGC_104	305.89	-44.89
_NGC_288	152.3	-89.38
_NGC_362	301.53	-46.25
_Whiting_1	161.22	-60.76
_NGC_1261	270.54	-52.12
_Pal_1		130.06	19.03
_AM_1		258.34	-48.47
_Eridanus	218.1	-41.33
_Pal_2		170.53	-9.07
_NGC_1851	244.51	-35.03
_NGC_1904	227.23	-29.35
_NGC_2298	245.63	-16
_NGC_2419	180.37	25.24
_Ko_2		195.12	25.54
_Pyxis		261.32	7
_NGC_2808	282.19	-11.25
_E_3		292.27	-19.02
_Pal_3		240.15	41.86
_NGC_3201	277.23	8.64
_Pal_4		202.31	71.8
_Ko_1		260.99	70.75
_NGC_4147	252.85	77.19
_NGC_4372	300.99	-9.88
_Rup_106	300.88	11.67
_NGC_4590	299.63	36.05
_NGC_4833	303.6	-8.02
_NGC_5024	332.96	79.76
_NGC_5053	335.7	78.95
_NGC_5139	309.1	14.97
_NGC_5272	42.22	78.71
_NGC_5286	311.61	10.57
_AM_4		320.28	33.51
_NGC_5466	42.15	73.59
_NGC_5634	342.21	49.26
_NGC_5694	331.06	30.36
_IC_4499	307.35	-20.47
_NGC_5824	332.56	22.07
_Pal_5		0.85	45.86
_NGC_5897	342.95	30.29
_NGC_5904	3.86	46.8
_NGC_5927	326.6	4.86
_NGC_5946	327.58	4.19
_BH_176		328.41	4.34
_NGC_5986	337.02	13.27
_Lynga_7	328.77	-2.8
_Pal_14		28.74	42.19
_NGC_6093	352.67	19.46
_NGC_6121	350.97	15.97
_NGC_6101	317.74	-15.82
_NGC_6144	351.93	15.7
_NGC_6139	342.37	6.94
_Terzan_3	345.08	9.19
_NGC_6171	3.37	23.01
_1636-283	351.91	12.1
_NGC_6205	59.01	40.91
_NGC_6229	73.64	40.31
_NGC_6218	15.72	26.31
_FSR_1735	339.19	-1.85
_NGC_6235	358.92	13.52
_NGC_6254	15.14	23.08
_NGC_6256	347.79	3.31
_Pal_15		18.88	24.3
_NGC_6266	353.57	7.32
_NGC_6273	356.87	9.38
_NGC_6284	358.35	9.94
_NGC_6287	0.13	11.02
_NGC_6293	357.62	7.83
_NGC_6304	355.83	5.38
_NGC_6316	357.18	5.76
_NGC_6341	68.34	34.86
_NGC_6325	0.97	8
_NGC_6333	5.54	10.71
_NGC_6342	4.9	9.72
_NGC_6356	6.72	10.22
_NGC_6355	359.59	5.43
_NGC_6352	341.42	-7.17
_IC_1257	16.54	15.15
_Terzan_2	356.32	2.3
_NGC_6366	18.41	16.04
_Terzan_4	356.02	1.31
_HP_1		357.44	2.12
_NGC_6362	325.55	-17.57
_Liller_1	354.84	-0.16
_NGC_6380	350.18	-3.42
_Terzan_1	357.57	1
_Ton_2		350.8	-3.42
_NGC_6388	345.56	-6.74
_NGC_6402	21.32	14.81
_NGC_6401	3.45	3.98
_NGC_6397	338.17	-11.96
_Pal_6		2.1	1.78
_NGC_6426	28.09	16.23
_Djorg_1	356.69	-2.47
_Terzan_5	3.84	1.69
_NGC_6440	7.73	3.8
_NGC_6441	353.53	-5.01
_Terzan_6	358.57	-2.16
_NGC_6453	355.72	-3.87
_UKS_1		5.13	0.76
_NGC_6496	348.03	-10.01
_Terzan_9	3.61	-1.99
_Djorg_2	2.77	-2.5
_NGC_6517	19.23	6.76
_Terzan_10	4.49	-1.99
_NGC_6522	1.02	-3.93
_NGC_6535	27.18	10.44
_NGC_6528	1.14	-4.17
_NGC_6539	20.8	6.78
_NGC_6540	3.29	-3.31
_NGC_6544	5.84	-2.2
_NGC_6541	349.29	-11.19
_2MS-GC01	10.48	0.11
_ESO-SC06	346.9	-12.57
_NGC_6553	5.26	-3.03
_2MS-GC02	9.79	-0.61
_NGC_6558	0.2	-6.02
_IC_1276	21.83	5.67
_Terzan_12	8.37	-2.1
_NGC_6569	0.48	-6.68
_BH_261		3.36	-5.27
_GLIMPSE02	14.14	-0.64
_NGC_6584	342.14	-16.41
_NGC_6624	2.79	-7.91
_NGC_6626	7.8	-5.58
_NGC_6638	7.9	-7.15
_NGC_6637	1.72	-10.27
_NGC_6642	9.81	-6.44
_NGC_6652	1.53	-11.38
_NGC_6656	9.89	-7.55
_Pal_8		14.11	-6.79
_NGC_6681	2.85	-12.51
_GLIMPSE01	31.31	-0.1
_NGC_6712	25.35	-4.32
_NGC_6715	5.61	-14.09
_NGC_6717	12.88	-10.9
_NGC_6723	0.07	-17.3
_NGC_6749	36.2	-2.21
_NGC_6752	336.49	-25.63
_NGC_6760	36.11	-3.92
_NGC_6779	62.66	8.34
_Terzan_7	3.39	-20.07
_Pal_10		52.43	2.72
_Arp_2		8.55	-20.79
_NGC_6809	8.79	-23.27
_Terzan_8	5.76	-24.56
_Pal_11		31.81	-15.57
_NGC_6838	56.75	-4.56
_NGC_6864	20.3	-25.75
_NGC_6934	52.1	-18.89
_NGC_6981	35.16	-32.68
_NGC_7006	63.77	-19.41
_NGC_7078	65.01	-27.31
_NGC_7089	53.37	-35.77
_NGC_7099	27.18	-46.84
_Pal_12		30.51	-47.68
_Pal_13		87.1	-42.7
_NGC_7492	53.39	-63.48
